current_path,kind,title,action,target_path,asset_id,reason,batch
.gitignore,file,,keep_review,.gitignore,,保留并在相关批次复核,01-control-plane
.nvmrc,file,,keep_review,.nvmrc,,保留并在相关批次复核,01-control-plane
AGENTS.md,md,AI Agent Platform Project Constitution,revise,AGENTS.md,,同步角色边界、批次提交与飞书零预读覆盖策略,01-control-plane
README.md,md,AI Agent Platform,revise,README.md,,重写为平台入口地图，统一当前实现、目标架构与知识导航,01-control-plane
apps/README.md,md,Applications,revise,apps/README.md,,校准三个真实应用及当前链路,01-control-plane
apps/action-gateway/README.md,md,Action Gateway,keep_review,apps/action-gateway/README.md,,实现资产保留，校准导航、状态和关联文档,01-control-plane
apps/action-gateway/package.json,json,,keep,apps/action-gateway/package.json,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/action-gateway/src/README.md,md,Source,keep_review,apps/action-gateway/src/README.md,,实现资产保留，校准导航、状态和关联文档,01-control-plane
apps/action-gateway/src/app.ts,ts,,keep,apps/action-gateway/src/app.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/action-gateway/src/concurrency.ts,ts,,keep,apps/action-gateway/src/concurrency.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/action-gateway/src/rate-limit.ts,ts,,keep,apps/action-gateway/src/rate-limit.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/action-gateway/src/response.ts,ts,,keep,apps/action-gateway/src/response.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/action-gateway/src/runtime-client.ts,ts,,keep,apps/action-gateway/src/runtime-client.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/action-gateway/src/server.ts,ts,,keep,apps/action-gateway/src/server.ts,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/action-gateway/tests/README.md,md,Tests,keep_review,apps/action-gateway/tests/README.md,,实现资产保留，校准导航、状态和关联文档,01-control-plane
apps/action-gateway/tests/gateway.test.mjs,mjs,,keep,apps/action-gateway/tests/gateway.test.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/action-gateway/tsconfig.json,json,,keep,apps/action-gateway/tsconfig.json,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/.gitignore,file,,keep,apps/dev-tunnel/.gitignore,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/README.md,md,Microsoft Dev Tunnels 应用,keep_review,apps/dev-tunnel/README.md,,实现资产保留，校准导航、状态和关联文档,01-control-plane
apps/dev-tunnel/openapi/custom-gpt-action.openapi.template.yaml,yaml,,keep,apps/dev-tunnel/openapi/custom-gpt-action.openapi.template.yaml,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/package.json,json,,keep,apps/dev-tunnel/package.json,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/doctor.mjs,mjs,,keep,apps/dev-tunnel/scripts/doctor.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/generate-openapi.mjs,mjs,,keep,apps/dev-tunnel/scripts/generate-openapi.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/install-cli.mjs,mjs,,keep,apps/dev-tunnel/scripts/install-cli.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/lib.mjs,mjs,,keep,apps/dev-tunnel/scripts/lib.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
apps/dev-tunnel/scripts/refresh.mjs,mjs,,keep,apps/dev-tunnel/scripts/refresh.mjs,,当前实现或测试证据，不因知识重构修改,implementation-frozen
